id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6029395,Cosy flat at 5min from center Porto,31292333,Andreia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15995,-8.63193,Entire home/apt,41,2,353,2024-08-30,3.13,1,304,54,10231/AL
6051047,Casa do Plátano,31399107,Maria De Los Angeles,VILA NOVA DE GAIA,Arcozelo,41.040882,-8.650163,Entire home/apt,195,4,123,2024-08-21,1.11,1,286,21,22876/AL
6051166,Av Apartments Ii,2015743,Susana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14725,-8.60322,Entire home/apt,63,1,174,2024-09-06,1.54,6,315,19,24343/AL
6076851,The Casa da Música apartment,31542272,Alina,PORTO,Ramalde,41.16581,-8.63409,Entire home/apt,,2,71,2017-10-14,0.63,1,0,0,
6086669,Apartment Sao Nicolau Porto,6410302,Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13995,-8.61535,Entire home/apt,79,2,451,2024-09-09,3.97,2,292,52,7057/AL
6086770,Porto Architecture and Cool Design,692475,Carlos,PORTO,Paranhos,41.16781,-8.59408,Entire home/apt,80,2,19,2023-10-14,0.17,1,317,1,19068/AL
6116557,Praia do Mindelo,31734205,Carlos,VILA DO CONDE,Mindelo,41.31072,-8.73913,Entire home/apt,38,90,8,2019-08-03,0.07,1,362,0,
6120374,Home Made Guest Studios - S.João,16211101,Maria,PORTO,Bonfim,41.14538,-8.59477,Entire home/apt,70,3,18,2023-09-01,0.16,11,0,0,11997/AL
6125585,Home Made Guest Studios - D. Maria,16211101,Maria,PORTO,Bonfim,41.15039,-8.59487,Entire home/apt,57,1,9,2019-09-27,0.09,11,0,0,11992/AL
6126278,Home Made Guest Studios - D. Luis,16211101,Maria,PORTO,Bonfim,41.14542,-8.59323,Entire home/apt,68,1,16,2022-08-18,0.14,11,0,0,11989/AL
6126597,Home Made Guest Studios - Arrábida,16211101,Maria,PORTO,Bonfim,41.1453,-8.59515,Entire home/apt,68,1,45,2022-10-01,0.39,11,0,0,11986/AL
6127893,Home Made Guest Studios - Freixo,16211101,Maria,PORTO,Bonfim,41.14706,-8.59321,Entire home/apt,68,1,27,2019-07-27,0.24,11,0,0,11996/AL
6134963,Ground floor flat in Garden,31731597,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16189,-8.61173,Entire home/apt,83,5,49,2022-08-28,0.43,5,29,0,65806/AL
6146507,Porto townhouse flat-walk to center,31731597,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1637,-8.61073,Entire home/apt,74,5,39,2024-08-23,0.34,5,67,2,9825
